date,bperp_m,btemp_days,is_master,temp_C
20220330,0.0,1379.9,1,9.9
20180619,-40.91,0.0,0,21.4
20180713,32.3,24.0,0,25.4
20180806,-54.51,48.0,0,29.0
20180830,-39.83,72.0,0,23.8
20180923,3.89,96.1,0,17.0
20181017,-137.28,120.1,0,10.2
20181110,21.2,144.1,0,9.2
20181204,18.19,168.1,0,1.8
20181228,-92.49,192.1,0,-9.9
20190121,-8.16,216.1,0,-0.9
20190214,-35.14,240.2,0,-1.3
20190310,-88.31,264.2,0,6.4
20190403,-51.82,288.2,0,5.7
20190427,-169.18,312.2,0,12.0
20190521,-20.99,336.2,0,15.5
20190614,24.25,360.2,0,20.8
20190825,-139.96,432.3,0,23.1
20190918,-49.9,456.3,0,17.3
20191012,30.55,480.3,0,14.9
20191105,-94.52,504.3,0,10.0
20191129,-13.45,528.4,0,0.4
20191223,32.81,552.4,0,-0.1
20200116,-55.74,576.4,0,-3.0
20200209,4.06,600.3,0,-0.7
20200304,-56.66,624.3,0,-0.0
20200328,-68.1,648.2,0,5.0
20200421,-37.39,672.2,0,6.2
20200620,-35.41,732.0,0,23.6
20200714,-39.24,756.0,0,19.6
20200807,-42.03,779.9,0,23.0
20200831,-65.31,803.9,0,25.8
20200924,-150.06,827.8,0,18.3
20201018,8.4,851.8,0,12.6
20201111,-18.16,875.7,0,7.4
20201205,-51.39,899.7,0,0.8
20201229,42.9,923.6,0,-4.5
20210122,33.97,947.6,0,5.2
20210215,-47.4,971.7,0,-3.6
20210311,-5.53,995.7,0,8.4
20210404,-39.37,1019.7,0,8.8
20210428,66.3,1043.7,0,13.9
20210522,-75.35,1067.7,0,16.6
20210721,-32.72,1127.8,0,29.2
20210814,-29.17,1151.8,0,24.5
20210907,-26.25,1175.8,0,20.7
20211001,-113.51,1199.8,0,20.4
20211025,-84.16,1223.8,0,9.7
20211118,6.92,1247.9,0,10.1
20211212,-80.01,1271.9,0,-2.5
20220105,-7.43,1295.9,0,-2.8
20220129,44.27,1319.9,0,-4.8
20220306,-66.32,1355.9,0,-0.0
20220423,-126.88,1404.0,0,17.2
20220610,-151.55,1452.0,0,20.8
20220716,-48.52,1488.0,0,24.2
20220809,-108.13,1512.0,0,23.3
20220902,-240.22,1536.1,0,23.0
20220926,70.31,1560.1,0,17.7
20221101,-58.68,1596.1,0,9.4
20221125,-129.14,1620.1,0,10.2
20221219,37.31,1644.1,0,-6.9
20230112,104.51,1668.1,0,4.5
20230205,2.92,1692.2,0,0.1
20230301,-86.8,1716.2,0,2.5
20230325,-77.96,1740.2,0,10.8
20230418,39.57,1764.2,0,12.6
20230617,-42.07,1824.2,0,23.1
20230723,-117.86,1860.3,0,24.7
20230816,-7.84,1884.3,0,26.1
20230909,-189.0,1908.3,0,24.2
20231003,-97.48,1932.3,0,16.4
20231027,33.26,1956.3,0,12.6
20231120,-161.29,1980.4,0,3.8
20231214,-40.79,2004.4,0,6.2
20240107,-35.22,2028.4,0,-7.1
20240131,-71.36,2052.3,0,1.3
20240224,-75.73,2076.3,0,1.9
20240319,-114.42,2100.2,0,4.5
20240424,137.59,2136.1,0,12.2
20240530,60.51,2172.1,0,19.3
20240717,175.36,2220.0,0,25.1
20240810,70.78,2243.9,0,28.5
20240903,84.13,2267.9,0,24.4
20240927,-55.61,2291.8,0,21.4
20241102,3.27,2327.8,0,14.6
20241126,79.32,2351.7,0,3.6
20241220,86.67,2375.7,0,-0.1
20250125,52.37,2411.7,0,2.7
20250218,-20.01,2435.7,0,-3.2
20250314,-44.14,2459.7,0,10.2
20250407,-55.22,2483.7,0,12.5
20250513,103.98,2519.7,0,18.0
20250618,218.6,2555.7,0,25.6
20250805,71.67,2603.8,0,27.6
20250829,-28.13,2627.8,0,26.7
20250922,-8.05,2651.8,0,19.9
20251016,-97.47,2675.8,0,18.8
20251109,-16.4,2699.8,0,10.9
20251203,116.33,2723.9,0,-7.2
20251227,60.14,2747.9,0,-2.4
